borehole,chainage,depth,type
bh1,0,0,fill
bh1,0,1.5,fill
bh1,0,3,HW_breccia
bh1,0,4.5,HW_breccia
bh1,0,6,HW_breccia
bh1,0,7.5,HW_breccia
bh1,0,9,HW_breccia
bh1,0,10.5,HW_breccia
bh1,0,12,HW_breccia
bh1,0,13.5,HW_breccia
bh1,0,15,HW_breccia
bh1,0,16.5,MW_breccia
bh1,0,18,MW_breccia
bh1,0,19.5,MW_breccia
bh1,0,21,MW_breccia
bh1,0,22.5,SW_breccia
bh1,0,24,SW_breccia
bh1,0,25.5,SW_breccia
bh1,0,27,SW_breccia
bh1,0,28.5,SW_breccia
bh1,0,30,SW_breccia
bh2,50,0,fill
bh2,50,1.5,fill
bh2,50,3,fill
bh2,50,4.5,clay
bh2,50,6,clay
bh2,50,7.5,clay
bh2,50,9,HW_breccia
bh2,50,10.5,HW_breccia
bh2,50,12,HW_breccia
bh2,50,13.5,HW_breccia
bh2,50,15,HW_breccia
bh2,50,16.5,MW_breccia
bh2,50,18,MW_breccia
bh2,50,19.5,MW_breccia
bh2,50,21,MW_breccia
bh2,50,22.5,MW_breccia
bh2,50,24,MW_breccia
bh2,50,25.5,MW_breccia
bh2,50,27,MW_breccia
bh2,50,28.5,SW_breccia
bh2,50,30,SW_breccia
bh3,80,0,fill
bh3,80,1.5,clay
bh3,80,3,clay
bh3,80,4.5,clay
bh3,80,6,clay
bh3,80,7.5,clay
bh3,80,9,HW_breccia
bh3,80,10.5,HW_breccia
bh3,80,12,HW_breccia
bh3,80,13.5,HW_breccia
bh3,80,15,HW_breccia
bh3,80,16.5,HW_breccia
bh3,80,18,HW_breccia
bh3,80,19.5,HW_breccia
bh3,80,21,HW_breccia
bh3,80,22.5,HW_breccia
bh3,80,24,MW_breccia
bh3,80,25.5,MW_breccia
bh3,80,27,MW_breccia
bh3,80,28.5,MW_breccia
bh3,80,30,MW_breccia
bh4,95,0,clay
bh4,95,1.5,clay
bh4,95,3,clay
bh4,95,4.5,clay
bh4,95,6,clay
bh4,95,7.5,clay
bh4,95,9,clay
bh4,95,10.5,clay
bh4,95,12,clay
bh4,95,13.5,clay
bh4,95,15,HW_breccia
bh4,95,16.5,HW_breccia
bh4,95,18,HW_breccia
bh4,95,19.5,HW_breccia
bh4,95,21,HW_breccia
bh4,95,22.5,HW_breccia
bh4,95,24,HW_breccia
bh4,95,25.5,HW_breccia
bh4,95,27,HW_breccia
bh4,95,28.5,MW_breccia
bh4,95,30,MW_breccia
